5261214998;41.18285;-8.638313;-0.150767;0.7187764;glass;2000
885948029;41.18959;-8.638138;-0.1507639;0.7188941;plastic;3000
1561621252;41.18679;-8.626521;-0.1505612;0.7188451;paper;1500
4479796423;41.17995;-8.629826;-0.1506189;0.7187257;generic;1000
885948028;41.18963;-8.638976;-0.1507786;0.7188947;paper;1500
885948030;41.18956;-8.63731;-0.1507495;0.7188933;glass;2000
1561621149;41.18307;-8.625535;-0.150544;0.7187803;generic;1000
3224244001;41.18976;-8.641533;-0.1508232;0.7188969;generic;1000
5328227030;41.1822;-8.642566;-0.1508412;0.718765;plastic;3000
5328227028;41.18276;-8.641674;-0.1508257;0.7187748;paper;1500
1561604056;41.18156;-8.639908;-0.1507948;0.7187539;glass;2000
5328227076;41.18278;-8.643682;-0.1508607;0.7187752;generic;1000
